primaryName,actriz_score_mean,actriz_score_max,actriz_score_std,actriz_ganador_oscar_prom,actriz_nominado_oscar_prom
Abby Dorrian,3.7,3.8,0.14142135623730917,0.0,0.0
Abby Dylan,6.050000000000001,7.4,1.909188309203678,0.0,0.0
Abby Eden,,,,0.0,0.0
Abby Eiland,5.2,6.1,0.9974968671630002,0.0,0.0
Abby Elliott,5.08,6.2,0.8584870412533903,0.0,0.0
Abby Evans,5.4,5.4,,0.0,0.0
Abby Fitz,,,,0.0,0.0
Abby Ford,4.3,4.3,,0.0,0.0
Abby Forknall,5.1,5.1,,0.0,0.0
Abby Fry,4.8,4.8,,0.0,0.0
Abby Fung,4.35,4.8,0.6363961030678925,0.0,0.0
Abby Gainforth,,,,0.0,0.0
Abby Garber,,,,0.0,0.0
Abby Gershuny,5.8,5.8,,0.0,0.0
Abby Glover,4.6,4.6,,0.0,0.0
Abby Grace Flynt,,,,0.0,0.0
Abby Gumpper,,,,0.0,0.0
Abby Guss,,,,0.0,0.0
Abby Harri,,,,0.0,0.0
Abby Henkel,7.2,7.2,,0.0,0.0
Abby Hinojsa,,,,0.0,0.0
Abby Hoeschler Delaney,,,,0.0,0.0
Abby Humphreys,,,,0.0,0.0
Abby Hunley,6.1,6.1,,0.0,0.0
