primaryName,director_score_mean,director_score_max,director_score_std,director_ganador_oscar_prom,director_nominado_oscar_prom
Aaron Rookus,,,,0.0,0.0
Aaron Rose,7.0,7.0,,0.0,0.0
Aaron Rosenbloom,8.1,8.1,,0.0,0.0
Aaron Rotan,5.9,5.9,,0.0,0.0
Aaron Rottinghaus,5.3,5.3,,0.0,0.0
Aaron Russman,2.8,2.8,,0.0,0.0
Aaron Russo,6.3,7.8,2.1213203435596424,0.0,0.0
Aaron Rux,5.2,5.2,,0.0,0.0
Aaron Salles Torres,6.5,6.5,,0.0,0.0
Aaron Sandler,7.6,7.6,,0.0,0.0
Aaron Saunders,,,,0.0,0.0
Aaron Sawyer,,,,0.0,0.0
Aaron Sayers,9.0,9.0,,0.0,0.0
Aaron Scheibner,7.8,7.8,,0.0,0.0
Aaron Schillinger,,,,0.0,0.0
